County,NAME
HARRIS,FRASSATI CATHOLIC HIGH SCHOOL
COLLIN,FRISCO MONTESSORI ACADEMY
TARRANT,FT WORTH ADVENTIST JR ACADEMY
RUSK,FULL ARMOR CHRISTIAN ACADEMY
BEXAR,FUSION ACADEMY
TRAVIS,FUSION ACADEMY AUS: AUSTIN
HARRIS,FUSION ACADEMY HS1: HOUSTON GALLERIA
TARRANT,FUSION ACADEMY SLK: SOUTHLAKE
FORT BEND,FUSION ACADEMY SUG: SUGAR LAND
DALLAS,GARLAND CHRISTIAN ACADEMY
DALLAS,GARLAND CHRISTIAN ADVENTIST SCHOOL
BEXAR,GATEWAY CHRISTIAN SCHOOL
COLLIN,GEM EXPRESS PRESCHOOL & KINDERGARTEN
HARRIS,GENESIS CHRISTIAN SCHOOL
KENDALL,GENEVA SCHOOL OF BOERNE
DALLAS,GERMAN INTERNATIONAL SCHOOL OF DALLAS
COMAL,GLORIA DEO ACADEMY
FORT BEND,GODDARD SCHOOL LONG MEADOW FARM
DALLAS,GOOD SHEPHERD EPISCOPAL SCHOOL
HARRIS,GOOD SHEPHERD EPISCOPAL SCHOOL
TRAVIS,GOOD SHEPHERD EPISCOPAL SCHOOL
BASTROP,GOOD SHEPHERD LUTHERAN SCHOOL
DALLAS,GOOD SHEPHERD SCHOOL
SMITH,GOOD SHEPHERD SCHOOL
HARRIS,GOSWAMI ACADEMY
HARRIS,GOUDEAU ACCELERATED PREPARATORY ACADEMY
DALLAS,GRACE ACADEMY OF DALLAS
WILLIAMSON,GRACE ACADEMY OF GEORGETOWN
HARRIS,GRACE CHRISTIAN ACADEMY
SMITH,GRACE COMMUNITY SCHOOL
COLLIN,GRACE COVENANT ACADEMY-FRISCO
WILLIAMSON,GRACE EPISCOPAL SCHOOL
MIDLAND,GRACE LUTHERAN EARLY CHILDHOOD PROGRAM
BELL,GRACE LUTHERAN SCHOOL
WASHINGTON,GRACE LUTHERAN SCHOOL
TARRANT,GRACE PREPARATORY ACADEMY
COMAL,GRACE PREPARATORY ACADEMY OF NEW BRAUNFELS
HARRIS,GRACE SCHOOL
NUECES,GRACE TEMPLE CHRISTIAN ACADEMY
MEDINA,GRACEDAY VILLAGE SCHOOL II
HARRIS,GRAND OAK ACADEMY
GRAYSON,GRAYSON CHRISTIAN SCHOOL
COLLIN,GREAT LAKES ACADEMY
TRAVIS,GREAT MINDS LEARNING COMMUNITY
HARRIS,GREAT OAK SCHOOL
TRAVIS,GREATER CALVARY ACADEMY
BELL,GREATER LOVE LEARNING ACADEMY LLC
TARRANT,GREEN OAKS SCHOOL
HARRIS,GREENGATE ACADEMY INC
DALLAS,GREENHILL SCHOOL
HUNT,GREENVILLE CHRISTIAN SCHOOL
MONTGOMERY,GREYSTONE HOUSE MONTESSORI
TRAVIS,GRIFFIN SCHOOL
HARRIS,GROWING SCHOLARS MONTESSORI SCHOOL
CAMERON,GUADALUPE REGIONAL MIDDLE SCHOOL
WILLIAMSON,GUIDEPOST  MONTESSORI SCHOOL AT BRUSHY CREEK
HARRIS,GUIDEPOST MONESSORI AT KATY
